feature_name,importance,feature_index,importance_rank,importance_percent,cumulative_percent
step_22_指数_上证指数,21,424,350,0.0878,88.7132
step_09_情绪_sentiment_0,21,190,351,0.0878,88.801
step_03_情绪_sentiment_0,21,78,352,0.0878,88.8888
step_28_个股_最高价,21,525,353,0.0878,88.9766
step_09_个股_MACD,21,180,354,0.0878,89.0644
step_07_情绪_sentiment_0,21,156,355,0.0878,89.1522
step_06_情绪_sentiment_1,21,139,356,0.0878,89.24
step_23_行业_成交量,20,442,357,0.0836,89.3236
step_10_情绪_sentiment_0,20,209,358,0.0836,89.4072
step_08_指数_创业板指,20,169,359,0.0836,89.4908
step_29_指数_上证指数,20,562,360,0.0836,89.5744
step_20_情绪_sentiment_1,20,391,361,0.0836,89.658
step_00_指数_创业板指,20,18,362,0.0836,89.7416
step_27_个股_开盘价,20,504,363,0.0836,89.8252
Momentum10D_收盘价,20,579,364,0.0836,89.9088
step_06_情绪_sentiment_0,20,138,365,0.0836,89.9924
step_17_个股_流通市值,20,322,366,0.0836,90.076
step_11_个股_收盘价,19,211,367,0.0795,90.1555
step_12_个股_最高价,19,231,368,0.0795,90.235
step_21_情绪_sentiment_0,19,409,369,0.0795,90.3145
step_21_情绪_sentiment_1,19,410,370,0.0795,90.394
step_10_个股_流通市值,19,197,371,0.0795,90.4735
step_01_情绪_sentiment_1,19,41,372,0.0795,90.553
step_12_个股_收盘价,19,230,373,0.0795,90.6325
step_00_个股_开盘价,19,0,374,0.0795,90.712
step_17_个股_开盘价,19,316,375,0.0795,90.7915
step_16_情绪_sentiment_0,19,314,376,0.0795,90.871
step_18_个股_最高价,19,336,377,0.0795,90.9505
step_15_行业_涨跌幅,19,292,378,0.0795,91.03
step_05_指数_沪深300,18,115,379,0.0753,91.1053
step_22_情绪_sentiment_1,18,430,380,0.0753,91.1806
step_23_个股_开盘价,18,431,381,0.0753,91.2559
step_14_情绪_sentiment_0,18,277,382,0.0753,91.3312
step_02_指数_上证指数,18,55,383,0.0753,91.4065
step_19_行业_成交量,18,366,384,0.0753,91.4818
step_13_情绪_sentiment_0,18,260,385,0.0753,91.5571
step_00_个股_收盘价,18,1,386,0.0753,91.6324
step_07_指数_沪深300,18,152,387,0.0753,91.7077
step_24_个股_开盘价,18,449,388,0.0753,91.783
step_01_个股_BB_upper,17,30,389,0.0711,91.8541
step_09_行业_涨跌幅,17,185,390,0.0711,91.9252
step_00_指数_上证指数,17,16,391,0.0711,91.9963
Momentum10D_最高价,17,585,392,0.0711,92.0674
step_13_行业_成交量,17,255,393,0.0711,92.1385
step_02_行业_成交量,17,53,394,0.0711,92.2096
step_05_指数_上证指数,17,114,395,0.0711,92.2807
step_29_行业_收盘价,17,558,396,0.0711,92.3518
step_29_指数_沪深300,16,563,397,0.0669,92.4187
step_07_指数_创业板指,16,154,398,0.0669,92.4856
step_29_指数_中证500,16,565,399,0.0669,92.5525
step_01_指数_创业板指,16,38,400,0.0669,92.6194
step_14_指数_上证指数,16,274,401,0.0669,92.6863
step_07_个股_流通市值,16,144,402,0.0669,92.7532
step_19_指数_中证500,16,371,403,0.0669,92.8201
step_07_行业_成交量,16,149,404,0.0669,92.887
step_16_行业_成交量,16,307,405,0.0669,92.9539
step_24_指数_上证指数,16,462,406,0.0669,93.0208
step_13_指数_沪深300,16,258,407,0.0669,93.0877
step_27_指数_沪深300,15,520,408,0.0627,93.1504
step_27_个股_BB_upper,15,513,409,0.0627,93.2131
step_10_个股_开盘价,15,192,410,0.0627,93.2758
step_04_指数_沪深300,15,94,411,0.0627,93.3385
