股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600158,中体产业,1998-03-27,正常交易,
sh600159,大龙地产,1998-05-26,正常交易,
sh600160,巨化股份,1998-06-26,正常交易,
sh600161,天坛生物,1998-06-16,正常交易,
sh600162,香江控股,1998-06-09,正常交易,
sh600163,中闽能源,1998-06-02,正常交易,
sh600165,ST宁科,1998-05-29,正常交易,
sh600166,福田汽车,1998-06-02,正常交易,
sh600167,联美控股,1999-01-28,正常交易,
sh600168,武汉控股,1998-04-27,正常交易,
sh600169,太原重工,1998-09-04,正常交易,
sh600170,上海建工,1998-06-23,正常交易,
sh600171,上海贝岭,1998-09-24,正常交易,
sh600172,黄河旋风,1998-11-26,正常交易,
sh600173,卧龙新能,1999-04-15,正常交易,
sh600176,中国巨石,1999-04-22,正常交易,
sh600177,雅戈尔,1998-11-19,正常交易,
sh600178,东安动力,1998-10-14,正常交易,
sh600179,安通控股,1998-11-04,正常交易,
sh600180,瑞茂通,1998-07-03,正常交易,
sh600182,S佳通,1999-05-07,正常交易,
sh600183,生益科技,1998-10-28,正常交易,
sh600184,光电股份,2003-11-06,正常交易,
sh600185,珠免集团,1999-06-11,正常交易,
sh600186,莲花控股,1998-08-25,正常交易,
sh600187,国中水务,1998-11-11,正常交易,
sh600188,兖矿能源,1998-07-01,正常交易,
sh600189,泉阳泉,1998-10-07,正常交易,
sh600191,华资实业,1998-12-10,正常交易,
sh600192,长城电工,1998-12-24,正常交易,
sh600193,*ST创兴,1999-05-27,正常交易,
sh600195,中牧股份,1999-01-07,正常交易,
sh600196,复星医药,1998-08-07,正常交易,
sh600197,伊力特,1999-09-16,正常交易,
sh600198,大唐电信,1998-10-21,正常交易,
sh600199,金种子酒,1998-08-12,正常交易,
sh600200,*ST苏吴,1999-04-01,正常交易,
sh600201,生物股份,1999-01-15,正常交易,
sh600202,哈空调,1999-06-03,正常交易,
sh600203,福日电子,1999-05-14,正常交易,
sh600206,有研新材,1999-03-19,正常交易,
sh600207,安彩高科,1999-07-14,正常交易,
sh600208,衢州发展,1999-06-23,正常交易,
sh600210,紫江企业,1999-08-24,正常交易,
sh600211,西藏药业,1999-07-21,正常交易,
sh600212,绿能慧充,1999-08-17,正常交易,
sh600215,派斯林,1999-09-09,正常交易,
sh600216,浙江医药,1999-10-21,正常交易,
sh600217,中再资环,1999-12-16,正常交易,
sh600218,全柴动力,1998-12-03,正常交易,
sh600219,南山铝业,1999-12-23,正常交易,
sh600221,海航控股,1999-11-25,正常交易,
sh600222,太龙药业,1999-11-05,正常交易,
sh600223,福瑞达,2000-01-13,正常交易,
sh600226,亨通股份,1999-11-16,正常交易,
sh600227,赤天化,2000-02-21,正常交易,
sh600228,*ST返利,1999-01-19,正常交易,
sh600229,城市传媒,2000-03-09,正常交易,
sh600230,沧州大化,2000-04-06,正常交易,
sh600231,凌钢股份,2000-05-11,正常交易,
sh600232,金鹰股份,2000-06-02,正常交易,
sh600233,圆通速递,2000-06-08,正常交易,
sh600234,科新发展,2000-06-15,正常交易,
sh600235,民丰特纸,2000-06-15,正常交易,
sh600236,桂冠电力,2000-03-23,正常交易,
sh600237,铜峰电子,2000-06-09,正常交易,
sh600238,*ST椰岛,2000-01-20,正常交易,
sh600239,云南城投,1999-12-02,正常交易,
sh600241,时代万恒,2000-11-28,正常交易,
sh600243,*ST海华,2000-11-20,正常交易,
sh600246,万通发展,2000-09-22,正常交易,
sh600248,陕建股份,2000-06-22,正常交易,
sh600249,两面针,2004-01-30,正常交易,
sh600250,南京商旅,2001-03-06,正常交易,
sh600251,冠农股份,2003-06-09,正常交易,
sh600252,中恒集团,2000-11-30,正常交易,
sh600255,鑫科材料,2000-11-22,正常交易,
sh600256,广汇能源,2000-05-26,正常交易,
sh600257,大湖股份,2000-06-12,正常交易,
sh600258,首旅酒店,2000-06-01,正常交易,
sh600259,广晟有色,2000-05-25,正常交易,
sh600261,阳光照明,2000-07-20,正常交易,
sh600262,北方股份,2000-06-30,正常交易,
sh600265,ST景谷,2000-08-25,正常交易,
sh600266,城建发展,1999-02-03,正常交易,
sh600267,海正药业,2000-07-25,正常交易,
sh600268,国电南自,1999-11-18,正常交易,
sh600269,赣粤高速,2000-05-18,正常交易,
sh600271,航天信息,2003-07-11,正常交易,
sh600272,开开实业,2001-02-28,正常交易,
sh600273,嘉化能源,2003-06-27,正常交易,
sh600276,恒瑞医药,2000-10-18,正常交易,
sh600278,东方创业,2000-07-12,正常交易,
sh600279,重庆港,2000-07-31,正常交易,
sh600280,中央商场,2000-09-26,正常交易,
sh600281,华阳新材,2000-11-09,正常交易,
sh600282,南钢股份,2000-09-19,正常交易,
sh600283,钱江水利,2000-10-18,正常交易,
sh600284,浦东建设,2004-03-16,正常交易,
sh600285,羚锐制药,2000-10-18,正常交易,
sh600287,江苏舜天,2000-09-01,正常交易,
sh600288,大恒科技,2000-11-29,正常交易,
sh600289,ST信通,2000-07-20,正常交易,
sh600292,远达环保,2000-11-01,正常交易,
sh600293,三峡新材,2000-09-19,正常交易,
sh600295,鄂尔多斯,2001-04-26,正常交易,
sh600298,安琪酵母,2000-08-18,正常交易,
sh600299,安迪苏,2000-04-20,正常交易,
sh600300,维维股份,2000-06-30,正常交易,
sh600301,华锡有色,2000-07-12,正常交易,
sh600302,标准股份,2000-12-13,正常交易,
sh600303,曙光股份,2000-12-26,正常交易,
sh600305,恒顺醋业,2001-02-06,正常交易,
sh600307,酒钢宏兴,2000-12-20,正常交易,
sh600308,华泰股份,2000-09-28,正常交易,
sh600309,万华化学,2001-01-05,正常交易,
sh600310,广西能源,2001-02-28,正常交易,
sh600312,平高电气,2001-02-21,正常交易,
sh600313,农发种业,2001-01-19,正常交易,
sh600315,上海家化,2001-03-15,正常交易,
sh600316,洪都航空,2000-12-15,正常交易,
sh600318,XD新力金,2000-12-08,正常交易,
sh600319,亚星化学,2001-03-26,正常交易,
sh600320,振华重工,2000-12-21,正常交易,
sh600322,津投城开,2001-09-10,正常交易,
sh600323,瀚蓝环境,2000-12-25,正常交易,
sh600325,华发股份,2004-02-25,正常交易,
sh600326,西藏天路,2001-01-16,正常交易,
sh600327,大东方,2002-06-25,正常交易,
sh600328,中盐化工,2000-12-22,正常交易,
sh600329,达仁堂,2001-06-06,正常交易,
sh600330,天通股份,2001-01-18,正常交易,
sh600331,宏达股份,2001-12-20,正常交易,
sh600332,白云山,2001-02-06,正常交易,
sh600333,长春燃气,2000-12-11,正常交易,
sh600335,国机汽车,2001-03-05,正常交易,
sh600336,澳柯玛,2000-12-29,正常交易,
sh600337,美克家居,2000-11-27,正常交易,
sh600338,西藏珠峰,2000-12-27,正常交易,
sh600339,中油工程,2000-12-25,正常交易,
sh600340,华夏幸福,2003-12-30,正常交易,
sh600343,航天动力,2003-04-08,正常交易,
sh600345,长江通信,2000-12-22,正常交易,
sh600346,恒力石化,2001-08-20,正常交易,
sh600348,华阳股份,2003-08-21,正常交易,
sh600350,山东高速,2002-03-18,正常交易,
sh600351,亚宝药业,2002-09-26,正常交易,
sh600352,浙江龙盛,2003-08-01,正常交易,
sh600353,旭光电子,2002-11-20,正常交易,
sh600354,敦煌种业,2004-01-15,正常交易,
sh600355,*ST精伦,2002-06-13,正常交易,
sh600356,恒丰纸业,2001-04-19,正常交易,
sh600358,ST联合,2000-09-22,正常交易,
sh600359,新农开发,1999-04-29,正常交易,
sh600360,*ST华微,2001-03-16,正常交易,
sh600361,创新新材,2001-11-29,正常交易,
sh600362,江西铜业,2002-01-11,正常交易,
sh600363,联创光电,2001-03-29,正常交易,
