股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sz000670,盈方微,1996-12-17,正常交易,
sz000672,上峰水泥,1996-12-18,正常交易,
sz000676,智度股份,1996-12-24,正常交易,
sz000677,恒天海龙,1996-12-26,正常交易,
sz000678,襄阳轴承,1997-01-06,正常交易,
sz000679,大连友谊,1997-01-24,正常交易,
sz000680,山推股份,1997-01-22,正常交易,
sz000681,视觉中国,1997-01-21,正常交易,
sz000682,东方电子,1997-01-21,正常交易,
sz000683,博源化工,1997-01-31,正常交易,
sz000685,中山公用,1997-01-23,正常交易,
sz000686,东北证券,1997-02-27,正常交易,
sz000688,国城矿业,1997-01-20,正常交易,
sz000690,宝新能源,1997-01-28,正常交易,
sz000691,*ST亚太,1997-02-28,正常交易,
sz000692,惠天热电,1997-02-27,正常交易,
sz000695,滨海能源,1997-02-18,正常交易,
sz000697,ST炼石,1997-03-25,正常交易,
sz000698,沈阳化工,1997-02-20,正常交易,
sz000700,模塑科技,1997-02-28,正常交易,
sz000701,厦门信达,1997-02-26,正常交易,
sz000702,正虹科技,1997-03-18,正常交易,
sz000703,恒逸石化,1997-03-28,正常交易,
sz000705,浙江震元,1997-04-10,正常交易,
sz000707,双环科技,1997-04-15,正常交易,
sz000708,中信特钢,1997-03-26,正常交易,
sz000709,河钢股份,1997-04-16,正常交易,
sz000710,贝瑞基因,1997-04-22,正常交易,
sz000711,*ST京蓝,1997-04-11,正常交易,
sz000712,锦龙股份,1997-04-15,正常交易,
sz000713,丰乐种业,1997-04-22,正常交易,
sz000715,中兴商业,1997-05-08,正常交易,
sz000716,黑芝麻,1997-04-18,正常交易,
sz000717,中南股份,1997-05-08,正常交易,
sz000718,苏宁环球,1997-04-08,正常交易,
sz000719,中原传媒,1997-03-31,正常交易,
sz000720,新能泰山,1997-05-09,正常交易,
sz000721,西安饮食,1997-04-30,正常交易,
sz000722,湖南发展,1997-05-22,正常交易,
sz000723,美锦能源,1997-05-15,正常交易,
sz000725,京东方Ａ,2001-01-12,正常交易,
sz000726,鲁  泰Ａ,2000-12-25,正常交易,
sz000727,冠捷科技,1997-05-20,正常交易,
sz000728,国元证券,1997-06-16,正常交易,
sz000729,燕京啤酒,1997-07-16,正常交易,
sz000731,四川美丰,1997-06-17,正常交易,
sz000733,振华科技,1997-07-03,正常交易,
sz000735,罗 牛 山,1997-06-11,正常交易,
sz000736,*ST中地,1997-04-25,正常交易,
sz000737,北方铜业,1997-04-28,正常交易,
sz000738,航发控制,1997-06-26,正常交易,
sz000739,普洛药业,1997-05-09,正常交易,
sz000750,国海证券,1997-07-09,正常交易,
sz000751,锌业股份,1997-06-26,正常交易,
sz000752,ST西发,1997-06-25,正常交易,
sz000753,漳州发展,1997-06-26,正常交易,
sz000755,山西高速,1997-06-27,正常交易,
sz000756,新华制药,1997-08-06,正常交易,
sz000757,浩物股份,1997-06-27,正常交易,
sz000758,中色股份,1997-04-16,正常交易,
sz000759,中百集团,1997-05-19,正常交易,
sz000761,本钢板材,1998-01-15,正常交易,
sz000762,西藏矿业,1997-07-08,正常交易,
sz000766,通化金马,1997-04-30,正常交易,
sz000767,晋控电力,1997-06-09,正常交易,
sz000768,中航西飞,1997-06-26,正常交易,
sz000776,广发证券,1997-06-11,正常交易,
sz000777,中核科技,1997-07-10,正常交易,
sz000778,新兴铸管,1997-06-06,正常交易,
sz000779,甘咨询,1997-05-28,正常交易,
sz000782,恒申新材,1997-06-19,正常交易,
sz000783,长江证券,1997-07-31,正常交易,
sz000785,居然智家,1997-07-11,正常交易,
sz000786,北新建材,1997-06-06,正常交易,
sz000788,北大医药,1997-06-16,正常交易,
sz000789,万年青,1997-09-23,正常交易,
sz000790,华神科技,1998-03-27,正常交易,
sz000791,甘肃能源,1997-10-14,正常交易,
sz000792,盐湖股份,1997-09-04,正常交易,
sz000793,ST华闻,1997-07-29,正常交易,
sz000795,英洛华,1997-08-08,正常交易,
sz000796,凯撒旅业,1997-07-03,正常交易,
sz000797,中国武夷,1997-07-15,正常交易,
sz000798,中水渔业,1998-02-12,正常交易,
sz000799,酒鬼酒,1997-07-18,正常交易,
sz000800,一汽解放,1997-06-18,正常交易,
sz000801,四川九洲,1998-05-06,正常交易,
sz000802,北京文化,1998-01-08,正常交易,
sz000803,山高环能,1998-03-03,正常交易,
sz000807,云铝股份,1998-04-08,正常交易,
sz000809,和展能源,1998-06-16,正常交易,
sz000810,创维数字,1998-06-02,正常交易,
sz000811,冰轮环境,1998-05-28,正常交易,
sz000812,陕西金叶,1998-06-23,正常交易,
sz000813,德展健康,1998-05-19,正常交易,
sz000815,美利云,1998-06-09,正常交易,
sz000816,智慧农业,1997-08-18,正常交易,
sz000818,航锦科技,1997-10-17,正常交易,
sz000819,岳阳兴长,1997-06-25,正常交易,
sz000820,*ST节能,1998-06-30,正常交易,
sz000821,京山轻机,1998-06-26,正常交易,
sz000822,山东海化,1998-07-03,正常交易,
sz000823,超声电子,1997-10-08,正常交易,
sz000825,太钢不锈,1998-10-21,正常交易,
sz000826,启迪环境,1998-02-25,正常交易,
sz000828,东莞控股,1997-06-17,正常交易,
sz000829,天音控股,1997-12-02,正常交易,
sz000830,鲁西化工,1998-08-07,正常交易,
sz000831,中国稀土,1998-09-11,正常交易,
sz000833,粤桂股份,1998-11-11,正常交易,
sz000837,秦川机床,1998-09-28,正常交易,
sz000838,财信发展,1997-06-26,正常交易,
sz000839,国安股份,1997-10-31,正常交易,
sz000848,承德露露,1997-11-13,正常交易,
sz000850,华茂股份,1998-10-07,正常交易,
sz000851,*ST高鸿,1998-06-09,正常交易,
sz000852,石化机械,1998-11-26,正常交易,
sz000856,冀东装备,1998-08-13,正常交易,
sz000858,五 粮 液,1998-04-27,正常交易,
sz000859,国风新材,1998-11-19,正常交易,
sz000860,顺鑫农业,1998-11-04,正常交易,
sz000862,银星能源,1998-09-15,正常交易,
sz000863,三湘印象,1997-09-25,正常交易,
sz000868,安凯客车,1997-07-25,正常交易,
sz000869,张  裕Ａ,2000-10-26,正常交易,
sz000875,吉电股份,2002-09-26,正常交易,
sz000876,新 希 望,1998-03-11,正常交易,
sz000877,天山股份,1999-01-07,正常交易,
sz000878,云南铜业,1998-06-02,正常交易,
sz000880,潍柴重机,1998-04-02,正常交易,
sz000881,中广核技,1998-09-02,正常交易,
sz000882,华联股份,1998-06-16,正常交易,
sz000883,湖北能源,1998-05-19,正常交易,
sz000885,城发环境,1999-03-19,正常交易,
sz000886,海南高速,1998-01-23,正常交易,
sz000887,中鼎股份,1998-12-03,正常交易,
sz000888,峨眉山Ａ,1997-10-21,正常交易,
sz000889,中嘉博创,1997-12-18,正常交易,
sz000890,法尔胜,1999-01-19,正常交易,
sz000892,欢瑞世纪,1999-01-15,正常交易,
sz000893,亚钾国际,1998-12-24,正常交易,
sz000895,双汇发展,1998-12-10,正常交易,
sz000897,津滨发展,1999-04-22,正常交易,
sz000898,鞍钢股份,1997-12-25,正常交易,
sz000899,赣能股份,1997-11-26,正常交易,
sz000900,现代投资,1999-01-28,正常交易,
sz000901,航天科技,1999-04-01,正常交易,
sz000902,新洋丰,1999-04-08,正常交易,
sz000903,ST云动,1999-04-15,正常交易,
sz000905,厦门港务,1999-04-29,正常交易,
sz000906,浙商中拓,1999-07-07,正常交易,
sz000908,ST景峰,1999-02-03,正常交易,
sz000909,ST数源,1999-05-07,正常交易,
sz000910,大亚圣象,1999-06-30,正常交易,
sz000911,广农糖业,1999-05-27,正常交易,
sz000912,泸天化,1999-06-03,正常交易,
sz000913,钱江摩托,1999-05-14,正常交易,
sz000915,华特达因,1999-06-09,正常交易,
sz000917,电广传媒,1999-03-25,正常交易,
sz000919,金陵药业,1999-11-18,正常交易,
sz000920,沃顿科技,1999-06-16,正常交易,
sz000921,海信家电,1999-07-13,正常交易,
sz000922,佳电股份,1999-06-18,正常交易,
sz000923,河钢资源,1999-07-14,正常交易,
sz000925,众合科技,1999-06-11,正常交易,
sz000926,福星股份,1999-06-18,正常交易,
sz000927,中国铁物,1999-07-27,正常交易,
sz000928,中钢国际,1999-03-12,正常交易,
sz000929,*ST兰黄,1999-06-23,正常交易,
sz000930,中粮科技,1999-07-12,正常交易,
sz000931,中 关 村,1999-07-12,正常交易,
sz000932,华菱钢铁,1999-08-03,正常交易,
sz000933,神火股份,1999-08-31,正常交易,
sz000935,四川双马,1999-08-24,正常交易,
sz000936,华西股份,1999-08-10,正常交易,
sz000937,冀中能源,1999-09-09,正常交易,
sz000938,紫光股份,1999-11-04,正常交易,
sz000948,南天信息,1999-10-14,正常交易,
sz000949,新乡化纤,1999-10-21,正常交易,
sz000950,重药控股,1999-09-16,正常交易,
sz000951,中国重汽,1999-11-25,正常交易,
sz000952,广济药业,1999-11-12,正常交易,
sz000953,河化股份,1999-12-02,正常交易,
sz000955,欣龙控股,1999-12-09,正常交易,
sz000957,中通客车,2000-01-13,正常交易,
sz000958,电投产融,1999-12-23,正常交易,
sz000959,首钢股份,1999-12-16,正常交易,
sz000960,锡业股份,2000-02-21,正常交易,
sz000962,东方钽业,2000-01-20,正常交易,
sz000963,华东医药,2000-01-27,正常交易,
sz000965,天保基建,2000-04-06,正常交易,
sz000966,长源电力,2000-03-16,正常交易,
sz000967,盈峰环境,2000-03-30,正常交易,
sz000968,蓝焰控股,2000-06-22,正常交易,
sz000969,安泰科技,2000-05-29,正常交易,
sz000970,中科三环,2000-04-20,正常交易,
sz000972,*ST中基,2000-09-26,正常交易,
sz000973,佛塑科技,2000-05-25,正常交易,
sz000975,山金国际,2000-06-08,正常交易,
sz000977,浪潮信息,2000-06-08,正常交易,
sz000978,桂林旅游,2000-05-18,正常交易,
sz000980,众泰汽车,2000-06-16,正常交易,
