股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600281,华阳新材,2000-11-09,正常交易,
sh600282,南钢股份,2000-09-19,正常交易,
sh600283,钱江水利,2000-10-18,正常交易,
sh600284,浦东建设,2004-03-16,正常交易,
sh600285,羚锐制药,2000-10-18,正常交易,
sh600286,*ST国 瓷,1999-12-09,终止上市,2007-05-31
sh600287,江苏舜天,2000-09-01,正常交易,
sh600288,大恒科技,2000-11-29,正常交易,
sh600289,ST信通,2000-07-20,正常交易,
sh600290,*ST华仪,2000-11-06,终止上市,2024-01-16
sh600291,退市西水,2000-07-31,终止上市,2022-06-14
sh600292,远达环保,2000-11-01,正常交易,
sh600293,三峡新材,2000-09-19,正常交易,
sh600295,鄂尔多斯,2001-04-26,正常交易,
sh600296,S兰铝,2000-07-19,终止上市,2007-04-30
sh600297,广汇汽车,2000-11-16,终止上市,2024-08-28
sh600298,安琪酵母,2000-08-18,正常交易,
sh600299,安迪苏,2000-04-20,正常交易,
sh600300,维维股份,2000-06-30,正常交易,
sh600301,华锡有色,2000-07-12,正常交易,
sh600302,标准股份,2000-12-13,正常交易,
sh600303,曙光股份,2000-12-26,正常交易,
sh600305,恒顺醋业,2001-02-06,正常交易,
sh600306,退市商城,2000-12-26,终止上市,2024-06-26
sh600307,酒钢宏兴,2000-12-20,正常交易,
sh600308,华泰股份,2000-09-28,正常交易,
sh600309,万华化学,2001-01-05,正常交易,
sh600310,广西能源,2001-02-28,正常交易,
sh600311,*ST荣华,2001-06-26,终止上市,2023-03-27
sh600312,平高电气,2001-02-21,正常交易,
sh600313,农发种业,2001-01-19,正常交易,
sh600315,上海家化,2001-03-15,正常交易,
sh600316,洪都航空,2000-12-15,正常交易,
sh600317,营口港,2002-01-31,终止上市,2021-01-29
sh600318,新力金融,2000-12-08,正常交易,
sh600319,亚星化学,2001-03-26,正常交易,
sh600320,振华重工,2000-12-21,正常交易,
sh600321,正源股份,2001-05-24,终止上市,2024-06-27
sh600322,津投城开,2001-09-10,正常交易,
sh600323,瀚蓝环境,2000-12-25,正常交易,
sh600325,华发股份,2004-02-25,正常交易,
sh600326,西藏天路,2001-01-16,正常交易,
sh600327,大东方,2002-06-25,正常交易,
sh600328,中盐化工,2000-12-22,正常交易,
sh600329,达仁堂,2001-06-06,正常交易,
sh600330,天通股份,2001-01-18,正常交易,
sh600331,宏达股份,2001-12-20,正常交易,
sh600332,白云山,2001-02-06,正常交易,
sh600333,长春燃气,2000-12-11,正常交易,
sh600335,国机汽车,2001-03-05,正常交易,
sh600336,澳柯玛,2000-12-29,正常交易,
sh600337,美克家居,2000-11-27,正常交易,
sh600338,西藏珠峰,2000-12-27,正常交易,
sh600339,中油工程,2000-12-25,正常交易,
sh600340,华夏幸福,2003-12-30,正常交易,
sh600343,航天动力,2003-04-08,正常交易,
sh600345,长江通信,2000-12-22,正常交易,
sh600346,恒力石化,2001-08-20,正常交易,
sh600348,华阳股份,2003-08-21,正常交易,
sh600350,山东高速,2002-03-18,正常交易,
sh600351,亚宝药业,2002-09-26,正常交易,
sh600352,浙江龙盛,2003-08-01,正常交易,
sh600353,旭光电子,2002-11-20,正常交易,
sh600354,敦煌种业,2004-01-15,正常交易,
sh600355,*ST精伦,2002-06-13,正常交易,
sh600356,恒丰纸业,2001-04-19,正常交易,
sh600357,承德钒钛,2002-09-06,终止上市,2009-12-29
sh600358,ST联合,2000-09-22,正常交易,
sh600359,新农开发,1999-04-29,正常交易,
sh600360,*ST华微,2001-03-16,正常交易,
sh600361,创新新材,2001-11-29,正常交易,
sh600362,江西铜业,2002-01-11,正常交易,
sh600363,联创光电,2001-03-29,正常交易,
sh600365,ST通葡,2001-01-15,正常交易,
sh600366,宁波韵升,2000-10-30,正常交易,
sh600367,红星发展,2001-03-20,正常交易,
sh600368,五洲交通,2000-12-21,正常交易,
sh600369,西南证券,2001-01-09,正常交易,
sh600370,三房巷,2003-03-06,正常交易,
sh600371,万向德农,2002-09-16,正常交易,
sh600372,中航机载,2001-07-06,正常交易,
sh600373,中文传媒,2002-03-04,正常交易,
sh600375,汉马科技,2003-04-01,正常交易,
sh600376,首开股份,2001-03-12,正常交易,
sh600377,宁沪高速,2001-01-16,正常交易,
sh600378,昊华科技,2001-01-11,正常交易,
sh600379,宝光股份,2002-01-16,正常交易,
sh600380,健康元,2001-06-08,正常交易,
sh600381,*ST春天,2001-05-08,正常交易,
sh600382,广东明珠,2001-01-18,正常交易,
sh600383,金地集团,2001-04-12,正常交易,
sh600385,退市金泰,2001-07-23,终止上市,2022-07-07
sh600386,北巴传媒,2001-02-16,正常交易,
sh600387,退市海越,2004-02-18,终止上市,2025-07-11
sh600388,龙净环保,2000-12-29,正常交易,
sh600389,江山股份,2001-01-10,正常交易,
sh600390,五矿资本,2001-01-15,正常交易,
sh600391,航发科技,2001-12-12,正常交易,
sh600392,盛和资源,2003-05-29,正常交易,
sh600393,ST粤泰,2001-03-19,终止上市,2023-07-18
sh600395,盘江股份,2001-05-31,正常交易,
sh600396,华电辽能,2001-03-28,正常交易,
sh600397,安源煤业,2002-07-02,正常交易,
sh600398,海澜之家,2000-12-28,正常交易,
sh600399,抚顺特钢,2000-12-29,正常交易,
sh600400,红豆股份,2001-01-08,正常交易,
sh600401,退市海润,2003-09-24,终止上市,2019-07-15
sh600403,大有能源,2003-10-09,正常交易,
sh600405,动力源,2004-04-01,正常交易,
sh600406,国电南瑞,2003-10-16,正常交易,
sh600408,安泰集团,2003-02-12,正常交易,
sh600409,三友化工,2003-06-18,正常交易,
sh600410,华胜天成,2004-04-27,正常交易,
sh600415,小商品城,2002-05-09,正常交易,
sh600416,湘电股份,2002-07-18,正常交易,
sh600418,江淮汽车,2001-08-24,正常交易,
sh600419,天润乳业,2001-06-28,正常交易,
sh600420,国药现代,2004-06-16,正常交易,
sh600421,*ST华嵘,2004-06-07,正常交易,
sh600422,昆药集团,2000-12-06,正常交易,
sh600423,柳化股份,2003-07-17,正常交易,
sh600425,青松建化,2003-07-24,正常交易,
sh600426,华鲁恒升,2002-06-20,正常交易,
sh600428,中远海特,2002-04-18,正常交易,
sh600429,三元股份,2003-09-15,正常交易,
sh600432,退市吉恩,2003-09-05,终止上市,2018-07-13
sh600433,冠豪高新,2003-06-19,正常交易,
sh600435,北方导航,2003-07-04,正常交易,
sh600436,片仔癀,2003-06-16,正常交易,
sh600438,通威股份,2004-03-02,正常交易,
sh600439,瑞贝卡,2003-07-10,正常交易,
sh600444,国机通用,2004-02-19,正常交易,
sh600446,金证股份,2003-12-24,正常交易,
sh600448,华纺股份,2001-09-03,正常交易,
sh600449,宁夏建材,2003-08-29,正常交易,
sh600452,涪陵电力,2004-03-03,正常交易,
sh600455,博通股份,2004-03-29,正常交易,
sh600456,宝钛股份,2002-04-12,正常交易,
sh600458,时代新材,2002-12-19,正常交易,
sh600459,贵研铂业,2003-05-16,正常交易,
sh600460,士兰微,2003-03-11,正常交易,
sh600461,洪城环境,2004-06-01,正常交易,
