stock_code,stock_name,industry,primary_concept,all_concepts,region
sh600103,青山纸业,造纸印刷,节能环保,"节能环保,中药概念,央国企改革,沪股通,5G概念,低价股,光通信模块",福建
sh600104,上汽集团,汽车整车,HS300_,"HS300_,机构重仓,预亏预减,长江三角,融资融券,央视50_,上证180_,上海自贸,沪企改革,燃料电池,央国企改革,沪股通,一带一路,证金持股,无人驾驶,超级品牌,MSCI中国,富时罗素,标准普尔,新能源车,半导体概念,车联网(车路云),固态电池,华为汽车,换电概念,破净股",上海
sh600105,永鼎股份,通信设备,预盈预增,"预盈预增,长江三角,融资融券,大数据,网络安全,超导概念,沪股通,量子科技,一带一路,5G概念,华为概念,富时罗素,标准普尔,国产芯片,新能源车,磁悬浮概念,专精特新,CPO概念,光通信模块,可控核聚变,2025中报预增",江苏
sh600106,重庆路桥,铁路公路,参股银行,"参股银行,成渝特区,机构重仓,西部大开发,融资融券,页岩气,沪股通,PPP模式,ETC",重庆
sh600107,ST尔雅,纺织服装,ST股,"ST股,参股期货,天然气,湖北自贸",湖北
sh600108,亚盛集团,农牧饲渔,参股券商,"参股券商,西部大开发,融资融券,土地流转,央国企改革,沪股通,乡村振兴,农业种植,低价股,啤酒概念,粮食概念",甘肃
sh600109,国金证券,证券,参股期货,"参股期货,成渝特区,预盈预增,西部大开发,融资融券,互联金融,中证500,上证380,沪股通,券商概念,MSCI中国,富时罗素,标准普尔,蚂蚁概念,科创板做市商,2025中报预增",四川
sh600110,诺德股份,电池,创投,"创投,新材料,机构重仓,预盈预增,锂电池,核能核电,智能电网,融资融券,特斯拉,超级电容,无人机,沪股通,新能源车,固态电池,复合集流体",吉林
sh600111,北方稀土,小金属,HS300_,"HS300_,稀缺资源,新材料,预盈预增,锂电池,稀土永磁,西部大开发,融资融券,上证180_,央国企改革,小金属概念,沪股通,MSCI中国,富时罗素,标准普尔,2025中报预增",内蒙古
sh600113,浙江东日,综合行业,参股银行,"参股银行,长江三角,融资融券,央国企改革,举牌,沪股通,冷链物流,社区团购,中俄贸易概念",浙江
sh600114,东睦股份,通用设备,新材料,"新材料,预盈预增,长江三角,融资融券,3D打印,特斯拉,苹果概念,燃料电池,沪股通,养老金,小米概念,华为概念,标准普尔,柔性屏(折叠屏)",浙江
sh600115,中国东航,航空机场,AH股,"AH股,HS300_,机构重仓,预盈预增,融资融券,通用航空,电商概念,央国企改革,沪股通,证金持股,大飞机,MSCI中国,进口博览,富时罗素,标准普尔",上海
