stock_code,stock_name,industry,primary_concept,all_concepts,region
sh603767,中马传动,汽车零部件,QFII重仓,"QFII重仓,机构重仓,预亏预减,昨日涨停,昨日连板,新能源车,昨日涨停_含一字,昨日连板_含一字,减速器,2025中报预减",浙江
sh603768,常青股份,汽车零部件,预亏预减,"预亏预减,新能源车,汽车一体化压铸",安徽
sh603773,沃格光电,光学光电子,新材料,"新材料,预亏预减,智能穿戴,沪股通,5G概念,养老金,小米概念,OLED,华为概念,电子烟,标准普尔,3D玻璃,MiniLED,半导体概念,MicroLED,Chiplet概念,复合集流体,CPO概念,柔性屏(折叠屏),玻璃基板",江西
sh603776,永安行,专业服务,节能环保,"节能环保,转债标的,物联网,预亏预减,融资融券,燃料电池,PPP模式,无人驾驶,共享经济,独角兽,氢能源,国产芯片,蚂蚁概念,机器人概念,存储芯片",江苏
sh603777,来伊份,食品饮料,预亏预减,"预亏预减,融资融券,电商概念,人工智能,新零售,进口博览,白酒,社区团购,内贸流通,AIGC概念,小红书概念",上海
sh603778,国晟科技,光伏设备,节能环保,"节能环保,太阳能,参股新三板,PPP模式,碳交易,新型城镇化,微盘股",北京
sh603779,威龙股份,酿酒行业,预亏预减,"预亏预减,微盘股",山东
sh603786,科博达,汽车零部件,中证500,"融资融券,中证500,上证380,沪股通,富时罗素,新能源车,专精特新",上海
sh603787,新日股份,交运设备,机构重仓,"机构重仓,预亏预减,共享经济",江苏
sh603788,宁波高发,汽车零部件,特斯拉,"特斯拉,新能源车",浙江
sh603789,*ST星农,专用设备,ST股,"ST股,生态农业,无人驾驶,乡村振兴,农业种植,机器人概念",浙江
sh603790,雅运股份,化学制品,QFII重仓,"QFII重仓,机构重仓",上海
sh603797,联泰环保,环保行业,节能环保,"节能环保,PPP模式,新型城镇化,破净股",广东
sh603798,康普顿,石油行业,燃料电池,"燃料电池,氢能源",山东
sh603799,华友钴业,能源金属,HS300_,"HS300_,新材料,转债标的,机构重仓,预盈预增,锂电池,融资融券,上证180_,小金属概念,沪股通,MSCI中国,独角兽,富时罗素,标准普尔,新能源车,固态电池,动力电池回收,锂矿概念,2025中报预增",浙江
sh603800,洪田股份,专用设备,机构重仓,"机构重仓,预亏预减,锂电池,融资融券,页岩气,沪股通,天然气,复合集流体",江苏
sh603801,志邦家居,装修建材,转债标的,"转债标的,股权激励,沪股通,工业互联,标准普尔",安徽
sh603803,瑞斯康达,通信设备,物联网,"物联网,预盈预增,融资融券,智慧城市,网络安全,5G概念,工业互联,边缘计算,标准普尔,国产芯片,车联网(车路云),6G概念,数据安全,新型城镇化,F5G概念,CPO概念,算力概念",北京
sh603806,福斯特,光伏设备,HS300_,"HS300_,新材料,转债标的,预亏预减,锂电池,太阳能,融资融券,上证380,沪股通,MSCI中国,富时罗素,PCB,标准普尔,宁组合",浙江
sh603808,歌力思,纺织服装,深圳特区,"深圳特区,预亏预减,电商概念,标准普尔,网红经济,C2M概念,NFT概念,虚拟数字人,小红书概念",广东
sh603809,豪能股份,汽车零部件,军工,"军工,转债标的,机构重仓,股权激励,预盈预增,西部大开发,铁路基建,融资融券,沪股通,大飞机,新能源车,商业航天,专精特新,机器人概念,减速器,小米汽车",四川
sh603810,丰山集团,农药兽药,转债标的,"转债标的,预盈预增,锂电池,氟化工,固态电池,钠离子电池,2025中报扭亏",江苏
sh603811,诚意药业,化学制药,机构重仓,"机构重仓,预盈预增,参股新三板,中药概念,病毒防治,昨日涨停,昨日连板,超级真菌,昨日涨停_含一字,昨日连板_含一字,2025中报预增",浙江
sh603813,*ST原尚,物流行业,ST股,"ST股,预亏预减,燃料电池,氢能源",广东
sh603815,交建股份,工程建设,预盈预增,"预盈预增,一带一路,PPP模式,地下管网,新型城镇化,2025中报预增",安徽
sh603816,顾家家居,装修建材,电商概念,"融资融券,电商概念,智能家居,中证500,上证380,沪股通,MSCI中国,富时罗素,标准普尔",浙江
sh603817,海峡环保,环保行业,节能环保,"节能环保,央国企改革,PPP模式,垃圾分类",福建
sh603818,曲美家居,装修建材,机构重仓,"机构重仓,预盈预增,电商概念",北京
sh603819,神力股份,电机,军工,"军工,预盈预增,风能,国家安防,专精特新,微盘股,2025中报扭亏",江苏
sh603822,嘉澳环保,化学制品,机构重仓,机构重仓,浙江
sh603823,百合花,化学制品,预盈预增,"预盈预增,锂电池",浙江
sh603825,华扬联众,文化传媒,创投,"创投,预亏预减,大数据,在线教育,电商概念,央国企改革,新零售,区块链,乡村振兴,百度概念,数字货币,数据中心,抖音概念(字节概念),抖音小店,网红经济,元宇宙概念,虚拟数字人,数字经济,东数西算,Web3.0,小红书概念",湖南
sh603826,坤彩科技,非金属材料,新材料,"新材料,预亏预减,锂电池,融资融券,中证500,沪股通,钛白粉,专精特新",福建
sh603828,ST柯利达,装修装饰,ST股,"ST股,股权激励,预盈预增,PPP模式,昨日涨停,昨日涨停_含一字",江苏
sh603829,洛凯股份,电网设备,转债标的,"转债标的,机构重仓,智能电网,专精特新",江苏
sh603833,欧派家居,装修建材,HS300_,"HS300_,转债标的,融资融券,上证380,沪股通,MSCI中国,富时罗素,标准普尔",广东
sh603836,海程邦达,物流行业,预亏预减,"预亏预减,拼多多概念,快递概念,跨境电商,2025中报预减",山东
sh603838,*ST四通,装修建材,ST股,ST股,广东
sh603839,安正时尚,纺织服装,预盈预增,"预盈预增,婴童概念,电商概念,跨境电商,2025中报扭亏",浙江
sh603843,*ST正平,工程建设,ST股,"ST股,预亏预减,西部大开发,水利建设,旅游概念,充电桩,一带一路,PPP模式,乡村振兴,低价股,地下管网,东数西算,新型城镇化,算力概念",青海
sh603848,好太太,家用轻工,电商概念,"电商概念,智能家居,沪股通,养老金,标准普尔",广东
sh603855,华荣股份,专用设备,军工,"军工,新能源,核能核电,LED,太阳能,沪股通,工业互联",上海
sh603856,东宏股份,装修建材,水利建设,"水利建设,地下管网",山东
sh603858,步长制药,中药,参股银行,"参股银行,生物疫苗,预盈预增,融资融券,参股保险,中药概念,医疗器械概念,病毒防治,中证500,沪股通,富时罗素,标准普尔,医疗美容,2025中报预增",山东
sh603859,能科科技,软件开发,军工,"军工,大数据,国产软件,沪股通,人工智能,军民融合,AI智能体,大飞机,昨日触板,工业互联,华为概念,数字孪生,商业航天,华为汽车,数字经济,信创,新型工业化",北京
sh603860,中公高科,工程咨询服务,中字头,"中字头,预盈预增,大数据,央国企改革,专精特新,微盘股",北京
sh603861,白云电器,电网设备,转债标的,"转债标的,预盈预增,智能电网,华为概念,特高压,数据中心",广东
sh603863,松炀资源,造纸印刷,节能环保,"节能环保,预盈预增,彩票概念,粤港自贸",广东
sh603866,桃李面包,食品饮料,电商概念,"融资融券,电商概念,上证380,沪股通,富时罗素,标准普尔",辽宁
sh603867,新化股份,化学制品,化工原料,"化工原料,转债标的,机构重仓,融资融券,沪股通,消毒剂",浙江
sh603868,飞科电器,家电行业,QFII重仓,"QFII重仓,预亏预减,融资融券,中证500,上证380,沪股通,富时罗素,标准普尔",上海
sh603869,ST智知,互联网服务,ST股,"ST股,机构重仓,物联网,预盈预增,大数据,国产软件,人工智能,ETC,数字经济,信创,算力概念",广西
sh603871,嘉友国际,物流行业,上证380,"融资融券,上证380,沪股通,一带一路,冷链物流,标准普尔,中俄贸易概念",北京
sh603876,鼎胜新材,有色金属,锂电池,"锂电池,融资融券,上证380,沪股通,独角兽,标准普尔,固态电池",江苏
sh603877,太平鸟,纺织服装,转债标的,"转债标的,预亏预减,融资融券,电商概念,阿里概念,沪股通,新零售,标准普尔,2025中报预减",浙江
sh603878,武进不锈,钢铁行业,转债标的,"转债标的,预亏预减,养老金",江苏
sh603879,永悦科技,塑料制品,预盈预增,"预盈预增,无人机,农业种植,微盘股,低空经济",江苏
sh603880,南卫股份,医疗器械,预亏预减,"预亏预减,医疗器械概念,青蒿素,微盘股",江苏
sh603881,数据港,互联网服务,云计算,"云计算,融资融券,大数据,央国企改革,阿里概念,沪股通,百度概念,富时罗素,标准普尔,数据中心,国资云概念,东数西算,算力概念,液冷概念,腾讯云",上海
sh603882,金域医学,医疗服务,预亏预减,"预亏预减,融资融券,医疗器械概念,基因测序,沪股通,体外诊断,冷链物流,华为概念,富时罗素,标准普尔",广东
sh603883,老百姓,医药商业,中药概念,"融资融券,中药概念,电商概念,医疗器械概念,上证380,沪股通,富时罗素,标准普尔,内贸流通",湖南
sh603885,吉祥航空,航空机场,中证500,"融资融券,中证500,上证380,沪股通,MSCI中国,富时罗素,标准普尔",上海
sh603886,元祖股份,食品饮料,预亏预减,"预亏预减,长江三角,电商概念,2025中报预减",上海
sh603887,城地香江,互联网服务,预盈预增,"预盈预增,云计算,融资融券,阿里概念,沪股通,华为概念,边缘计算,数据中心,数字经济,算力概念,2025中报扭亏",上海
sh603888,新华网,文化传媒,创投,"创投,融资融券,大数据,在线教育,央国企改革,阿里概念,上证380,沪股通,人工智能,区块链,知识产权,超清视频,富时罗素,标准普尔,网红经济,虚拟数字人,AIGC概念,数据要素,多模态AI,Sora概念,AI语料",北京
sh603889,新澳股份,纺织服装,沪股通,沪股通,浙江
sh603890,春秋电子,消费电子,转债标的,"转债标的,预盈预增,融资融券,特斯拉,沪股通,富士康,华为概念,新能源车,F5G概念,小米汽车,AIPC,2025中报预增",江苏
sh603893,瑞芯微,半导体,物联网,"物联网,股权激励,预盈预增,融资融券,中证500,上证380,沪股通,虚拟现实,人工智能,MSCI中国,百度概念,华为概念,国产芯片,商汤概念,专精特新,EDR概念,百元股,AI芯片,2025中报预增",福建
sh603895,天永智能,专用设备,预亏预减,"预亏预减,锂电池,人工智能,数字孪生,标准普尔,新能源车,固态电池,华为汽车,钠离子电池,储能,专精特新,机器人概念,新型工业化",上海
sh603896,寿仙谷,中药,转债标的,"转债标的,中药概念,沪股通,工业大麻",浙江
sh603897,长城科技,电网设备,新能源车,"融资融券,沪股通,标准普尔,新能源车",浙江
sh603898,好莱客,装修建材,预亏预减,"预亏预减,智能家居,标准普尔,网红经济",广东
sh603899,晨光股份,家用轻工,QFII重仓,"QFII重仓,股权激励,融资融券,中证500,上证380,沪股通,超级品牌,MSCI中国,富时罗素,标准普尔,茅指数,谷子经济",上海
sh603900,莱绅通灵,珠宝首饰,黄金概念,"黄金概念,预盈预增,新零售,内贸流通,2025中报扭亏",江苏
sh603901,永创智能,专用设备,转债标的,"转债标的,股权激励,预亏预减,机器人概念",浙江
sh603903,中持股份,环保行业,节能环保,"节能环保,预亏预减,PPP模式,雄安新区,微盘股",北京
sh603906,龙蟠科技,电池,节能环保,"节能环保,AH股,预盈预增,锂电池,融资融券,沪股通,氢能源,尾气治理,固态电池,储能",江苏
sh603908,牧高笛,纺织服装,电商概念,"融资融券,电商概念,体育产业,户外露营,微盘股",浙江
sh603909,建发合诚,工程咨询服务,央国企改革,"央国企改革,微盘股,房屋检测",福建
sh603912,佳力图,专用设备,转债标的,"转债标的,预亏预减,华为概念,数据中心,专精特新,东数西算,液冷概念",江苏
sh603915,国茂股份,通用设备,股权激励,"股权激励,融资融券,上证380,沪股通,机器人概念,减速器,机器人执行器",江苏
sh603916,苏博特,化学制品,新材料,"新材料,转债标的,融资融券,装配建筑,房屋检测,雅下水电概念",江苏
sh603917,合力科技,汽车零部件,新能源车,"新能源车,汽车一体化压铸,2025中报预增",浙江
sh603918,金桥信息,互联网服务,物联网,"物联网,预盈预增,融资融券,在线教育,沪股通,人工智能,区块链,华为概念,数字孪生,智慧政务,远程办公,蚂蚁概念,化债(AMC)概念,信创,Web3.0,数据确权,DeepSeek概念",上海
sh603919,金徽酒,酿酒行业,西部大开发,"西部大开发,融资融券,上证380,沪股通,白酒",甘肃
sh603920,世运电路,电子元件,特斯拉,"融资融券,特斯拉,央国企改革,上证380,沪股通,OLED,PCB,储能,机器人概念,英伟达概念,低空经济,人形机器人",广东
sh603922,金鸿顺,汽车零部件,预盈预增,"预盈预增,新能源车,2025中报扭亏",江苏
sh603926,铁流股份,汽车零部件,新能源车,新能源车,浙江
sh603927,中科软,软件开发,预亏预减,"预亏预减,云计算,融资融券,大数据,互联金融,网络安全,央国企改革,国产软件,中证500,上证380,沪股通,区块链,互联医疗,华为概念,富时罗素,数字货币,车联网(车路云),鸿蒙概念,跨境支付,信创,DeepSeek概念",北京
sh603928,兴业股份,塑料制品,新材料,"新材料,预盈预增,锂电池,3D打印,大飞机,光刻机(胶),半导体概念,专精特新,2025中报预增",江苏
sh603929,亚翔集成,装修装饰,预盈预增,"预盈预增,沪股通,OLED,富士康,华为概念,标准普尔,国产芯片,半导体概念,中芯概念",江苏
sh603931,格林达,电子化学品,机构重仓,"机构重仓,太阳能,沪股通,OLED,光刻机(胶),国产芯片,半导体概念",浙江
sh603933,睿能科技,半导体,QFII重仓,"QFII重仓,机构重仓,无人机,ETC,半导体概念,机器人概念,PLC概念,人形机器人",福建
sh603936,博敏电子,电子元件,军工,"军工,机构重仓,预盈预增,融资融券,智能穿戴,沪股通,5G概念,无人驾驶,小米概念,华为概念,PCB,新能源车,MiniLED,数据中心,第三代半导体,激光雷达,IGBT概念",广东
sh603937,丽岛新材,有色金属,转债标的,"转债标的,预亏预减,锂电池,微盘股",江苏
sh603938,三孚股份,化学制品,预亏预减,"预亏预减,融资融券,沪股通,氢能源,半导体概念,有机硅,专精特新",河北
sh603939,益丰药房,医药商业,转债标的,"转债标的,融资融券,电商概念,中证500,上证380,沪股通,MSCI中国,互联医疗,富时罗素,标准普尔,内贸流通",湖南
sh603948,建业股份,化学制品,化工原料,"化工原料,新材料,太阳能,一带一路,知识产权,氮化镓,半导体概念,中俄贸易概念",浙江
sh603949,雪龙集团,汽车零部件,军工,"军工,节能环保,新能源车,专精特新,汽车热管理",浙江
sh603950,长源东谷,汽车零部件,基金重仓,"基金重仓,预盈预增,沪股通,湖北自贸,专精特新,飞行汽车(eVTOL),低空经济,2025中报预增",湖北
sh603955,大千生态,工程建设,股权激励,"股权激励,预亏预减,PPP模式,宠物经济,新型城镇化",江苏
sh603956,威派格,专用设备,物联网,"物联网,预盈预增,水利建设,人工智能,AI智能体,工业互联,乡村振兴,华为概念,专精特新,数字经济,净水概念,机器人概念,信创,ChatGPT概念,智谱AI,DeepSeek概念",上海
sh603958,哈森股份,纺织服装,预盈预增,"预盈预增,并购重组概念",江苏
sh603959,百利科技,工程咨询服务,煤化工,"煤化工,预盈预增,锂电池,燃料电池,昨日触板,氢能源,标准普尔,新能源车,固态电池,微盘股",湖南
sh603960,克来机电,专用设备,无人驾驶,"融资融券,沪股通,无人驾驶,氢能源,富时罗素,新能源车,华为汽车,专精特新,机器人概念",上海
sh603966,法兰泰克,专用设备,一带一路,"一带一路,换电概念,专精特新,机器人概念",江苏
sh603967,中创物流,物流行业,冷链物流,"冷链物流,中俄贸易概念",山东
sh603968,醋化股份,化学制品,机构重仓,"机构重仓,预盈预增,代糖概念,微盘股,2025中报扭亏",江苏
sh603969,银龙股份,通用设备,预盈预增,"预盈预增,核能核电,铁路基建,融资融券,水利建设,沪股通,一带一路,雄安新区,碳基材料,2025中报预增",天津
sh603970,中农立华,农药兽药,无人机,"无人机,一带一路,内贸流通,供销社概念",北京
sh603976,正川股份,医疗器械,转债标的,"转债标的,成渝特区,预亏预减,西部大开发,医疗器械概念,2025中报预减",重庆
sh603977,国泰集团,化学制品,军工,"军工,稀缺资源,铁路基建,3D打印,央国企改革,小金属概念,沪股通,虚拟现实,军民融合,国产芯片,元宇宙概念,民爆概念,可控核聚变",江西
sh603978,深圳新星,有色金属,军工,"军工,新材料,深圳特区,股权激励,预盈预增,锂电池,融资融券,氟化工,军民融合,PVDF概念,汽车一体化压铸",广东
sh603979,金诚信,采掘行业,化工原料,"化工原料,转债标的,QFII重仓,黄金概念,预盈预增,融资融券,中证500,上证380,沪股通,一带一路,MSCI中国,磷化工,2025中报预增",北京
sh603980,吉华集团,化学制品,化工原料,"化工原料,预盈预增,阿兹海默,2025中报预减",浙江
sh603982,泉峰汽车,汽车零部件,机构重仓,"机构重仓,股权激励,预盈预增,融资融券,特斯拉,华为概念,富时罗素,新能源车,华为汽车,汽车一体化压铸,轮毂电机,减速器,小米汽车",江苏
sh603983,丸美生物,美容护理,养老金,"沪股通,养老金,富时罗素,化妆品概念,合成生物",广东
sh603985,恒润股份,风电设备,机构重仓,"机构重仓,预盈预增,风能,融资融券,央国企改革,沪股通,OLED,东数西算,算力概念,英伟达概念,2025中报扭亏",江苏
sh603986,兆易创新,半导体,HS300_,"HS300_,基金重仓,物联网,预盈预增,融资融券,央视50_,上证180_,智能穿戴,沪股通,人工智能,MSCI中国,超清视频,富时罗素,标准普尔,国产芯片,无线耳机,传感器,半导体概念,汽车芯片,百元股,存储芯片",北京
sh603987,康德莱,医疗器械,股权激励,"股权激励,医疗器械概念,医疗美容",上海
sh603988,中电电机,电机,预盈预增,"预盈预增,太阳能,风能,沪股通,2025中报扭亏",江苏
sh603989,艾华集团,电子元件,军工,"军工,节能环保,融资融券,充电桩,上证380,沪股通,养老金,华为概念,富时罗素,标准普尔,被动元件",湖南
sh603990,麦迪科技,软件开发,预盈预增,"预盈预增,融资融券,央国企改革,国产软件,人工智能,互联医疗,华为概念,辅助生殖,机器人概念,低空经济,并购重组概念,人形机器人,DeepSeek概念,2025中报扭亏",江苏
sh603991,至正股份,塑料制品,新材料,"新材料,QFII重仓,预亏预减,核能核电,5G概念,半导体概念,并购重组概念",广东
sh603992,松霖科技,装修建材,转债标的,"转债标的,预亏预减,智能家居,沪股通,C2M概念,机器人概念,2025中报预减",福建
sh603993,洛阳钼业,小金属,AH股,"AH股,HS300_,稀缺资源,黄金概念,预盈预增,融资融券,上证50_,上证180_,小金属概念,沪股通,MSCI中国,富时罗素,标准普尔,磷化工,2025中报预增",河南
sh603995,甬金股份,钢铁行业,新材料,"新材料,转债标的,QFII重仓,机构重仓,预盈预增,融资融券,沪股通,专精特新",浙江
sh603997,继峰股份,汽车零部件,转债标的,"转债标的,基金重仓,预盈预增,融资融券,特斯拉,沪股通,养老金,标准普尔,2025中报预增",浙江
sh603998,方盛制药,中药,中药概念,"中药概念,养老概念,婴童概念,工业大麻,化妆品概念,创新药",湖南
sh603999,读者传媒,文化传媒,参股券商,"参股券商,西部大开发,参股新三板,参股保险,央国企改革,知识产权,快手概念",甘肃
sh605001,威奥股份,交运设备,新材料,"新材料,预盈预增,铁路基建,养老概念",山东
sh605003,众望布艺,纺织服装,抗菌面料,"抗菌面料,微盘股",浙江
sh605005,合兴股份,汽车零部件,新能源车,"沪股通,新能源车",浙江
sh605006,山东玻纤,玻璃玻纤,转债标的,"转债标的,预盈预增,风能,央国企改革,2025中报扭亏",山东
sh605007,五洲特纸,造纸印刷,转债标的,"转债标的,沪股通",浙江
sh605008,长鸿高科,塑料制品,节能环保,"节能环保,新材料,预亏预减,长江三角,沪股通,降解塑料,2025中报预减",浙江
sh605009,豪悦护理,美容护理,养老概念,"养老概念,婴童概念,电商概念,医疗器械概念,上证380,沪股通,消毒剂,宠物经济",浙江
sh605011,杭州热电,公用事业,节能环保,"节能环保,太阳能,融资融券,央国企改革,沪股通,绿色电力",浙江
sh605016,百龙创园,食品饮料,代糖概念,"沪股通,代糖概念,专精特新",山东
sh605018,长华集团,汽车零部件,机构重仓,"机构重仓,特斯拉,沪股通,养老金,新能源车,储能,机器人概念,汽车一体化压铸,小米汽车,飞行汽车(eVTOL),低空经济,人形机器人",浙江
sh605020,永和股份,化学制品,转债标的,"转债标的,预盈预增,融资融券,氟化工,沪股通,环氧丙烷,PVDF概念,液冷概念,2025中报预增",浙江
sh605028,世茂能源,电力行业,节能环保,"节能环保,垃圾分类,绿色电力",浙江
sh605033,美邦股份,农药兽药,西部大开发,西部大开发,陕西
sh605050,福然德,物流行业,新能源车,"沪股通,新能源车,汽车一体化压铸",上海
sh605055,迎丰股份,纺织服装,预亏预减,预亏预减,浙江
sh605056,咸亨国际,仪器仪表,预盈预增,"预盈预增,电商概念,无人机,沪股通,人工智能,储能,机器人概念,低空经济,2025中报预增",浙江
sh605058,澳弘电子,电子元件,一带一路,"一带一路,工业互联,PCB,新能源车,卫星互联网,商业航天,新型工业化",江苏
sh605060,联德股份,通用设备,物联网,"物联网,风能,数据中心,专精特新",浙江
sh605066,天正电气,电网设备,机构重仓,"机构重仓,智能电网,充电桩,百度概念,数据中心",浙江
sh605068,明新旭腾,汽车零部件,转债标的,"转债标的,预亏预减,华为汽车",浙江
sh605069,正和生态,环保行业,节能环保,"节能环保,预盈预增,水利建设,乡村振兴,元宇宙概念,土壤修复,新型城镇化,微盘股,智谱AI,2025中报扭亏",北京
sh605077,华康股份,食品饮料,转债标的,"转债标的,沪股通,代糖概念,合成生物",浙江
sh605080,浙江自然,纺织服装,体育产业,"体育产业,户外露营",浙江
sh605081,*ST太和,环保行业,节能环保,"节能环保,ST股,预亏预减,雄安新区",上海
sh605086,龙高股份,采掘行业,稀缺资源,"稀缺资源,QFII重仓,央国企改革,沪股通",福建
sh605088,冠盛股份,汽车零部件,贬值受益,"沪股通,贬值受益,新能源车,固态电池,华为汽车",浙江
sh605089,味知香,食品饮料,冷链物流,"冷链物流,预制菜概念",江苏
sh605090,九丰能源,燃气,新材料,"新材料,转债标的,锂电池,融资融券,油气设服,上证380,沪股通,养老金,天然气,冷链物流,氢能源,半导体概念,氦气概念,商业航天,工业气体,绿色电力,低空经济,DeepSeek概念",江西
sh605098,行动教育,教育,创投,"创投,在线教育,沪股通,职业教育",上海
sh605099,共创草坪,家用轻工,体育产业,"沪股通,体育产业,贬值受益",江苏
sh605100,华丰股份,通用设备,预亏预减,"预亏预减,数据中心,固态电池,发电机概念,2025中报预减",山东
sh605108,同庆楼,旅游酒店,预亏预减,"预亏预减,沪股通,内贸流通,预制菜概念",安徽
sh605111,新洁能,半导体,物联网,"物联网,太阳能,融资融券,充电桩,上证380,沪股通,无人驾驶,国产芯片,新能源车,半导体概念,第三代半导体,汽车芯片,碳化硅,专精特新,IGBT概念,机器人概念,算力概念",江苏
sh605116,奥锐特,化学制药,转债标的,"转债标的,沪股通,辅助生殖,专精特新,减肥药,合成生物",浙江
sh605117,德业股份,光伏设备,HS300_,"HS300_,预盈预增,太阳能,融资融券,上证180_,沪股通,MSCI中国,国产芯片,储能",浙江
sh605118,力鼎光电,光学光电子,预盈预增,"预盈预增,国家安防,无人机,沪股通,虚拟现实,无人驾驶,专精特新,AI眼镜,2025中报预增",福建
sh605122,四方新材,水泥建材,预亏预减,"预亏预减,西部大开发,铁路基建,装配建筑,微盘股",重庆
sh605123,派克新材,通用设备,军工,"军工,核能核电,风能,融资融券,上证380,沪股通,大飞机,商业航天,专精特新",江苏
sh605128,上海沿浦,汽车零部件,华为汽车,"沪股通,华为汽车",上海
sh605133,嵘泰股份,汽车零部件,特斯拉,"特斯拉,沪股通,新能源车,工业母机",江苏
sh605136,丽人丽妆,商业百货,创投,"创投,预亏预减,电商概念,阿里概念,新零售,化妆品概念,内贸流通,预制菜概念,跨境电商,小红书概念",上海
sh605138,盛泰集团,纺织服装,转债标的,"转债标的,预盈预增",浙江
sh605151,西上海,汽车零部件,预亏预减,"预亏预减,新能源车,统一大市场,微盘股",上海
sh605155,西大门,家用轻工,新材料,"新材料,股权激励,电商概念,智能家居,一带一路,贬值受益,中俄贸易概念,建筑节能,户外露营,跨境电商,抗菌面料,微盘股",浙江
sh605158,华达新材,钢铁行业,新材料,"新材料,预亏预减,一带一路,2025中报预减",浙江
sh605162,新中港,公用事业,转债标的,"转债标的,储能",浙江
sh605166,聚合顺,化学制品,新材料,"新材料,转债标的,预盈预增,专精特新",浙江
sh605167,利柏特,专用设备,转债标的,"转债标的,核能核电,一带一路,氢能源,专精特新,中俄贸易概念",江苏
sh605168,三人行,文化传媒,参股券商,"参股券商,西部大开发,融资融券,大数据,无人机,上证380,沪股通,人工智能,富时罗素,NFT概念,元宇宙概念,虚拟数字人,数字经济,Web3.0,AIGC概念,ChatGPT概念,数据要素",陕西
sh605169,洪通燃气,燃气,节能环保,"节能环保,西部大开发,昨日涨停,天然气,昨日涨停_含一字",新疆
sh605177,东亚药业,化学制药,转债标的,"转债标的,预亏预减,病毒防治,超级真菌,微盘股,合成生物",浙江
sh605178,时空科技,装修装饰,QFII重仓,"QFII重仓,物联网,预盈预增,智慧城市,智慧灯杆,微盘股",北京
sh605179,一鸣食品,食品饮料,冷链物流,"沪股通,冷链物流,乳业,代糖概念",浙江
sh605180,华生科技,纺织服装,预盈预增,"预盈预增,超级电容,户外露营,微盘股",浙江
sh605183,确成股份,橡胶制品,QFII重仓,"QFII重仓,机构重仓,沪股通,养老金,专精特新",江苏
sh605186,健麾信息,医疗服务,预亏预减,"预亏预减,鸿蒙概念,机器人概念,2025中报预减",上海
sh605188,国光连锁,商业百货,机构重仓,"机构重仓,电商概念,新零售,内贸流通",江西
sh605189,富春染织,纺织服装,转债标的,"转债标的,预亏预减,昨日涨停,昨日涨停_含一字,PEEK材料概念,2025中报预减",安徽
sh605196,华通线缆,电网设备,太阳能,"太阳能,沪股通,贬值受益,工业互联,中俄贸易概念",河北
sh605198,XD安德利,食品饮料,节能环保,"节能环保,AH股,预盈预增,沪股通,2025中报预增",山东
sh605199,ST葫芦娃,中药,ST股,"ST股,预亏预减,中药概念,婴童概念,医疗器械概念,病毒防治,独家药品,流感,专精特新,幽门螺杆菌概念,肝炎概念,创新药,海南自贸,2025中报预减",海南
sh605208,永茂泰,汽车零部件,QFII重仓,"QFII重仓,融资融券,减速器",上海
sh605218,伟时电子,光学光电子,物联网,"物联网,医疗器械概念,虚拟现实,OLED,MiniLED,电子后视镜,裸眼3D",江苏
sh605222,起帆电缆,电网设备,军工,"军工,转债标的,预亏预减,核能核电,特斯拉,充电桩,上证380,沪股通,大飞机",上海
sh605228,神通科技,汽车零部件,转债标的,"转债标的,预盈预增,特斯拉,无人驾驶,新能源车,毫米波概念,2025中报预增",浙江
sh605255,天普股份,汽车零部件,机构重仓,"机构重仓,燃料电池,新能源车",浙江
sh605258,协和电子,电子元件,预盈预增,"预盈预增,PCB",江苏
sh605259,绿田机械,通用设备,预盈预增,"预盈预增,发电机概念,2025中报预增",浙江
sh605266,健之佳,医药商业,预亏预减,"预亏预减,西部大开发,参股保险,内贸流通",云南
sh605268,王力安防,家用轻工,预盈预增,"预盈预增,国家安防,智能家居",浙江
sh605277,新亚电子,消费电子,太阳能,"太阳能,充电桩,沪股通,5G概念,华为概念,新能源车,F5G概念,机器人概念,铜缆高速连接",浙江
sh605286,同力日升,专用设备,新能源,"新能源,风能,沪股通,一带一路,人工智能,数据中心,储能,东数西算",江苏
sh605287,德才股份,装修装饰,预亏预减,"预亏预减,虚拟现实,新型城镇化,微盘股",山东
sh605288,凯迪股份,专用设备,机构重仓,"机构重仓,物联网,养老概念,智能家居,新能源车",江苏
sh605289,罗曼股份,装修装饰,预盈预增,"预盈预增,智慧城市,新能源车,元宇宙概念,混合现实,空间计算,2025中报预增",上海
sh605296,神农集团,农牧饲渔,预盈预增,"预盈预增,西部大开发,沪股通,猪肉概念,2025中报预增",云南
sh605298,必得科技,交运设备,QFII重仓,"QFII重仓,机构重仓,预盈预增,铁路基建,专精特新,2025中报预增",江苏
sh605299,舒华体育,家用轻工,体育产业,"体育产业,华为概念",福建
sh605300,佳禾食品,食品饮料,QFII重仓,"QFII重仓,预亏预减,沪股通,代糖概念,娃哈哈概念,2025中报预减",江苏
sh605303,园林股份,工程建设,节能环保,"节能环保,预亏预减,PPP模式,雄安新区,新型城镇化,微盘股",浙江
sh605305,中际联合,风电设备,QFII重仓,"QFII重仓,预盈预增,风能,融资融券,沪股通,工程机械概念,专精特新,2025中报预增",北京
sh605318,法狮龙,装修装饰,QFII重仓,"QFII重仓,机构重仓,预盈预增,智能家居",浙江
