概念代码,概念名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK0954,盲盒经济,1317.62,1.24,16.17,1037872.0,1421145128.0,1.96,1321.3,1295.84,1299.62,1301.45,129309220000.0,98243782000.0,63247642.0,4.45,-22523024.0,1754532096
BK0666,苹果概念,3623.47,1.23,44.1,16190697.0,37187092265.0,0.98,3634.93,3599.72,3599.72,3579.37,3223794192000.0,2954663664000.0,1597658112.0,4.3,-604309504.0,1754532096
BK1170,AI制药（医疗）,1444.06,1.22,17.44,5677371.0,9263204239.0,1.9,1451.08,1423.92,1423.92,1426.62,575103824000.0,492523312000.0,-155537408.0,-1.68,210154720.0,1754532096
BK1137,存储芯片,1486.62,1.22,17.88,5578171.0,14744554213.0,1.41,1489.64,1468.95,1468.95,1468.74,1159259312000.0,958952432000.0,572426672.0,3.88,-205178320.0,1754532096
BK0951,刀片电池,2536.72,1.15,28.88,1161398.0,3513059090.0,1.24,2540.25,2509.07,2509.07,2507.84,1110817280000.0,495292016000.0,327285712.0,9.35,-146431664.0,1754532096
BK0902,MiniLED,1930.78,1.08,20.68,6683375.0,10151470751.0,1.11,1935.09,1913.81,1913.81,1910.1,1016997120000.0,908117552000.0,548362464.0,5.4,-293000864.0,1754532096
BK1023,培育钻石,1616.76,1.08,17.25,1408198.0,2937104475.0,1.47,1617.5,1594.0,1611.37,1599.51,183158551000.0,174356995000.0,-94403888.0,-3.22,96704304.0,1754532096
BK0986,CAR-T细胞疗法,1261.57,1.03,12.84,2351691.0,4249169374.0,2.05,1269.74,1244.15,1244.45,1248.73,570810480000.0,465320576000.0,-145101328.0,-3.41,133750576.0,1754532096
BK0837,互联医疗,1134.83,1.03,11.54,12897428.0,19057306190.0,1.21,1136.91,1123.31,1123.31,1123.29,4972067072000.0,2134644512000.0,-157275472.0,-0.83,239183360.0,1754532096
BK1177,荣耀概念,1821.51,1.01,18.2,6486813.0,12915877763.0,0.84,1825.72,1810.58,1810.58,1803.31,1059763104000.0,935731472000.0,168991808.0,1.31,60586336.0,1754532096
BK1078,肝炎概念,1501.1,1.0,14.93,5417744.0,8657302526.0,1.49,1505.15,1483.04,1483.04,1486.17,652862832000.0,575360576000.0,-171893440.0,-1.99,117533040.0,1754532096
BK1178,AI眼镜,1881.66,0.99,18.46,9332260.0,18799160785.0,1.0,1884.25,1865.68,1865.68,1863.2,1544204944000.0,1328797200000.0,558742560.0,2.97,-197565696.0,1754532096
BK0916,氮化镓,1445.79,0.99,14.17,4307736.0,9213249580.0,1.14,1447.88,1431.51,1431.57,1431.62,1010716112000.0,939114624000.0,18156160.0,0.2,89458128.0,1754532096
BK1162,AI手机,1637.29,0.98,15.92,5509719.0,10705542952.0,1.11,1642.92,1624.92,1624.92,1621.37,847290592000.0,759354208000.0,105665776.0,0.99,11382096.0,1754532096
BK0993,宠物经济,1011.72,0.97,9.76,3112570.0,5327251474.0,1.02,1012.45,1002.25,1002.35,1001.96,441804448000.0,365980976000.0,64352352.0,1.21,-7204928.0,1754532096
BK0803,股权转让,752.21,0.97,7.21,3190203.0,2878518279.0,1.02,752.64,745.01,747.53,745.0,206765864000.0,191041712000.0,108201822.0,3.76,-82407968.0,1754532096
BK0880,UWB概念,1718.93,0.95,16.22,4207484.0,6947849459.0,0.89,1725.05,1709.9,1710.1,1702.71,368963472000.0,349791008000.0,-37502752.0,-0.54,102597824.0,1754532096
BK1138,液冷概念,1402.95,0.94,13.09,12518053.0,24147050518.0,1.03,1405.71,1391.34,1391.34,1389.86,1335889088000.0,1180653072000.0,-673941504.0,-2.79,699721728.0,1754532096
BK0675,病毒防治,2985.98,0.94,27.82,11009536.0,14557457399.0,1.42,2989.54,2947.47,2949.96,2958.16,1650439904000.0,1450093760000.0,80420848.0,0.55,42975440.0,1754532096
BK0850,进口博览,1064.76,0.93,9.81,1483120.0,1161130697.0,1.19,1065.66,1053.09,1053.25,1054.95,244661617000.0,215865908000.0,53536129.0,4.61,-4447376.0,1754532096
BK0889,医疗美容,1826.14,0.91,16.42,6509729.0,8038663066.0,1.21,1828.4,1806.43,1807.15,1809.72,1123524544000.0,995615008000.0,-45510160.0,-0.57,13486240.0,1754532096
BK0969,汽车芯片,1250.47,0.89,11.09,5139337.0,13511378266.0,0.97,1254.39,1242.31,1242.31,1239.38,1315171088000.0,1209113600000.0,40760416.0,0.3,40678016.0,1754532096
BK0901,3D摄像头,1647.64,0.88,14.34,2707449.0,7029104380.0,0.84,1654.53,1640.79,1641.13,1633.3,587575632000.0,570721744000.0,443337136.0,6.31,-147697248.0,1754532096
BK0842,富士康,2058.09,0.87,17.81,4116381.0,10592584806.0,0.97,2063.23,2043.52,2043.52,2040.28,648545904000.0,575603744000.0,315605808.0,2.98,-48262672.0,1754532096
BK0974,化妆品概念,1311.62,0.86,11.23,2471084.0,4923307853.0,0.99,1312.1,1299.24,1301.4,1300.39,739811856000.0,652420752000.0,-5211936.0,-0.11,24098048.0,1754532096
BK0641,智能穿戴,3379.51,0.85,28.44,17246410.0,31722461157.0,0.8,3385.75,3358.99,3358.99,3351.07,2770233920000.0,2478894704000.0,943625392.0,2.97,-241932800.0,1754532096
BK1125,电子后视镜,1663.73,0.84,13.85,1970486.0,2793937374.0,0.87,1666.45,1652.04,1652.04,1649.88,374482928000.0,336000160000.0,28148897.0,1.01,-38910176.0,1754532096
BK1160,柔性屏(折叠屏),1578.26,0.83,12.95,10745260.0,15847000487.0,0.77,1582.44,1570.38,1570.38,1565.31,1064474176000.0,953611488000.0,-26660528.0,-0.17,109768624.0,1754532096
BK0965,社区团购,939.95,0.81,7.54,1989280.0,1833135196.0,0.89,939.95,931.61,931.61,932.41,563918448000.0,389047792000.0,138805152.0,7.59,-44537728.0,1754532096
BK0833,小米概念,2077.52,0.8,16.43,25974724.0,43731122036.0,0.8,2081.06,2064.56,2064.56,2061.09,3513413440000.0,3110484336000.0,251037440.0,0.57,346519040.0,1754532096
BK1056,幽门螺杆菌概念,1060.14,0.79,8.36,5156507.0,6385730623.0,1.35,1064.81,1050.61,1050.86,1051.78,534351424000.0,462607360000.0,-98972544.0,-1.55,88180432.0,1754532096
BK0511,ST股,6602.04,0.76,49.86,9350807.0,5134955128.0,0.61,6602.04,6562.32,6563.5,6552.18,729832160000.0,646207152000.0,-80942944.0,-1.58,85608800.0,1754532096
BK1133,ERP概念,1443.35,0.76,10.85,1786075.0,4269058248.0,0.95,1452.86,1439.32,1439.57,1432.5,292493248000.0,245351908000.0,68711920.0,1.61,-18461296.0,1754532096
BK0698,免疫治疗,1717.92,0.74,12.69,2825324.0,4181470628.0,1.23,1720.66,1699.68,1699.75,1705.23,569897552000.0,509475408000.0,-92044848.0,-2.2,50498528.0,1754532096
BK0891,国产芯片,3558.35,0.74,25.97,36099691.0,76029976745.0,0.85,3564.85,3534.76,3534.76,3532.38,10219735552000.0,8187164416000.0,579793408.0,0.76,496693760.0,1754532096
BK0580,LED,3694.61,0.72,26.35,9104352.0,15503632461.0,0.6,3698.48,3676.35,3676.83,3668.26,1425987856000.0,1322151216000.0,717556064.0,4.63,-246540848.0,1754532096
BK0928,抖音小店,1318.77,0.72,9.37,2872368.0,2152071395.0,0.73,1318.94,1309.39,1309.39,1309.4,248757226000.0,228361490000.0,84141217.0,3.92,3268656.0,1754532096
BK0664,婴童概念,1778.94,0.68,12.08,9165446.0,11847344289.0,0.99,1779.55,1762.1,1762.56,1766.86,1321313136000.0,1200226928000.0,268518752.0,2.27,-9759568.0,1754532096
BK1183,谷子经济,1193.34,0.68,8.1,7272872.0,9126164149.0,0.85,1193.37,1183.33,1185.59,1185.24,679203168000.0,615433520000.0,-24874928.0,-0.27,168744848.0,1754532096
BK1156,PEEK材料概念,1638.26,0.68,11.05,5602603.0,11386926572.0,2.09,1652.98,1618.98,1646.93,1627.21,447066512000.0,371229376000.0,-503258368.0,-4.42,404023392.0,1754532096
BK1175,玻璃基板,1557.0,0.68,10.47,2645647.0,4363410698.0,0.83,1559.44,1546.6,1546.6,1546.53,505801520000.0,456086592000.0,-100148640.0,-2.3,95668704.0,1754532096
BK1174,合成生物,1376.56,0.67,9.15,6891681.0,12655723991.0,0.89,1377.78,1365.66,1365.66,1367.41,1534322528000.0,1265557696000.0,-66048784.0,-0.52,212187920.0,1754532096
BK0881,3D玻璃,1301.43,0.67,8.63,3931436.0,4407317005.0,0.78,1307.72,1297.59,1297.59,1292.8,313462144000.0,291654096000.0,113238480.0,2.57,9031312.0,1754532096
BK0960,无线充电,2820.27,0.66,18.57,5593610.0,12726344840.0,0.71,2824.2,2804.31,2804.31,2801.7,2074058784000.0,1367802240000.0,714549104.0,5.62,-307495232.0,1754532096
BK0917,半导体概念,1855.26,0.66,12.13,25184178.0,60836787546.0,0.72,1857.9,1844.68,1844.68,1843.13,8409039104000.0,6328055296000.0,-292369920.0,-0.48,703544576.0,1754532096
BK1008,国资云概念,1676.54,0.64,10.68,2187612.0,4507065188.0,1.22,1683.11,1662.72,1662.72,1665.86,407719392000.0,353553168000.0,-41240928.0,-0.92,114682848.0,1754532096
BK0935,中芯概念,1389.13,0.63,8.63,3063810.0,10482608337.0,0.53,1391.16,1383.78,1383.88,1380.5,2476211584000.0,1809685120000.0,166330400.0,1.59,38262896.0,1754532096
BK1142,裸眼3D,1208.83,0.62,7.49,3933718.0,4640549627.0,0.73,1215.93,1207.21,1207.21,1201.34,302249904000.0,286742128000.0,-164046816.0,-3.54,134948544.0,1754532096
BK0964,6G概念,1565.49,0.6,9.41,3699864.0,6607338923.0,0.99,1568.65,1553.22,1555.24,1556.08,543227008000.0,470430752000.0,-107575792.0,-1.63,206325744.0,1754532096
BK0946,EDA概念,1314.51,0.6,7.8,759111.0,2416822280.0,0.66,1315.76,1307.2,1312.64,1306.71,249441938000.0,233670171000.0,-29827296.0,-1.23,43333328.0,1754532096
