行业代码,行业名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK1031,光伏设备,1137.91,-0.24,-2.69,3774867.0,5540684437.0,0.5,1143.63,1137.91,1142.1,1140.6,1311069024000.0,1142305008000.0,-292405904.0,-5.28,206390496.0,1754532099
BK0730,农药兽药,1297.99,-0.24,-3.11,1861329.0,2107623867.0,0.32,1300.08,1295.96,1299.88,1301.1,337194080000.0,297805728000.0,-93838466.0,-4.46,76815120.0,1754532099
BK0738,多元金融,666.14,-0.26,-1.71,1509384.0,1160446361.0,0.57,668.47,664.68,667.71,667.85,467562608000.0,439067408000.0,-93818686.0,-8.09,75504928.0,1754532099
BK0471,化纤行业,16116.73,-0.32,-52.35,1545175.0,1378384482.0,0.54,16176.49,16089.86,16176.49,16169.08,476005312000.0,438262880000.0,-25046376.0,-1.82,10359968.0,1754532099
BK0474,保险,1421.02,-0.33,-4.7,372358.0,1241714462.0,1.21,1433.18,1415.9,1423.46,1425.72,3192451280000.0,2197665248000.0,20779121.0,1.67,-4632022.0,1754532099
BK0731,化肥行业,1503.94,-0.37,-5.64,976459.0,1312132102.0,0.55,1511.02,1502.76,1509.73,1509.58,447141600000.0,421368992000.0,-13177181.0,-1.01,7651456.0,1754532099
BK1016,汽车服务,1075.78,-0.4,-4.37,467074.0,402738401.0,0.75,1081.09,1073.03,1078.71,1080.15,75517167000.0,69591434000.0,-39441198.0,-9.8,18476410.0,1754532099
BK1030,电机,2405.27,-0.52,-12.68,1485024.0,3440056267.0,0.95,2420.62,2397.6,2419.38,2417.95,257826716000.0,227590647000.0,-191765312.0,-5.57,198204016.0,1754532099
BK1028,燃气,1667.31,-0.55,-9.21,691639.0,664814544.0,0.64,1675.83,1665.12,1675.32,1676.52,286846528000.0,256551909000.0,-36887283.0,-5.55,29419507.0,1754532099
BK1027,小金属,2605.09,-0.57,-14.84,4315426.0,9615527792.0,1.32,2639.78,2605.09,2633.68,2619.93,903192720000.0,795775920000.0,-755443168.0,-7.87,514384416.0,1754532099
BK0739,工程机械,2150.53,-0.58,-12.51,3510126.0,5970278915.0,0.77,2166.04,2149.41,2163.56,2163.04,753547872000.0,673544352000.0,-468454160.0,-7.85,434227504.0,1754532099
BK1015,能源金属,528.92,-0.58,-3.11,961873.0,2378414554.0,0.99,534.19,528.92,533.52,532.03,371544624000.0,322991248000.0,-94038698.0,-3.95,-27732432.0,1754532099
BK0480,航天航空,56161.43,-0.68,-385.9,4198793.0,10481181888.0,1.41,56399.9,55604.13,56361.57,56547.33,1300664688000.0,1044519392000.0,-406164288.0,-3.88,345469408.0,1754532099
BK0437,煤炭行业,11171.73,-1.21,-136.99,2614172.0,2159717456.0,0.97,11279.83,11169.8,11273.44,11308.72,1776927008000.0,1481921696000.0,-383534213.0,-17.76,274885872.0,1754532099
BK0479,钢铁行业,8396.19,-1.43,-121.52,13551254.0,4993416272.0,1.29,8502.22,8392.46,8495.63,8517.71,973017168000.0,877623648000.0,-419686816.0,-8.4,318961728.0,1754532099
