stock_code,个股_开盘价,个股_收盘价,个股_最高价,个股_成交量,个股_涨跌幅,个股_成交额,个股_换手率,个股_振幅,个股_流通市值,个股_RSI,个股_MACD,个股_MACD_signal,个股_BB_upper,个股_BB_middle,个股_BB_lower,行业_开盘价,行业_收盘价,行业_最高价,行业_最低价,行业_成交量,行业_涨跌幅,指数_上证指数,指数_沪深300,指数_深证成指,指数_创业板指,指数_中证500,情绪_sentiment_0,情绪_sentiment_1
sh688109,34.02,34.31,34.69,26239.0,1.15,89881666.0,3.33,3.3,2705079313.0,63.25966850828732,1.346311591674251,1.1442042386635083,35.64047188555429,32.4215,29.202528114445713,18855.48,18658.44,18880.83,18625.02,6011381.0,-1.15,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600970,9.98,9.46,10.05,741788.0,-4.15,718977110.0,3.29,6.08,21302565696.94,70.05076142131985,0.1690354721705951,0.075085388683237,9.641574145748848,8.949,8.256425854251152,600.16,600.77,605.46,597.2,3800620.0,0.17,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000601,5.55,5.41,5.58,420704.0,-2.52,230872990.4,3.89,3.06,5845288881.32,56.52173913043478,0.09811137502312928,0.1384648897770327,6.507951595331795,5.5355,4.563048404668205,1131.19,1132.4,1140.79,1126.36,5194788.0,-0.2,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002297,10.53,10.53,10.53,83710.0,10.03,88146630.0,1.46,0.0,6034793744.07,86.87150837988827,0.432029841541258,0.19291093308805643,9.53113131692832,8.092,6.65286868307168,28798.72,28937.21,29173.94,28584.05,45394657.0,0.1,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000571,4.95,4.76,4.98,202124.0,-3.25,97057517.04,2.48,5.69,3874618342.0,61.81818181818177,0.07362215413149009,0.04093372404554954,4.868649795400909,4.595000000000001,4.321350204599092,37804.89,37970.93,38544.87,37591.5,38597086.0,-0.31,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000796,5.06,4.71,5.27,3118799.0,-9.94,1549539152.99,23.44,10.71,6267911675.1,62.62975778546712,0.25461579441280335,0.1873707940586877,5.066124903926937,4.3,3.533875096073062,10910.5,10820.39,10923.77,10811.98,10481845.0,-1.14,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000546,5.51,5.35,5.59,738117.0,-5.14,399360059.15,10.59,4.43,3727372852.1,57.731958762886585,0.17120440068513076,0.13077550796987739,5.576899148981599,5.101,4.625100851018401,13225.09,13140.75,13367.25,13129.07,37268789.0,-0.59,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600615,12.29,12.52,12.75,108807.0,1.95,135582523.0,4.83,5.29,2818870613.2,79.63800904977371,0.28529824014955985,0.1540832926845769,12.382959178493975,11.494,10.605040821506025,683.12,675.79,683.48,674.9,4276549.0,-1.09,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz301519,14.94,14.3,15.96,106958.0,-3.25,158075312.0,13.71,11.37,1115578750.0,57.51633986928106,0.24186204932313693,0.20057225944382806,14.500691422329114,13.9265,13.352308577670888,31676.65,30029.06,31676.65,30024.84,26332278.0,-3.02,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600812,6.85,6.82,6.95,243731.0,-0.73,167333555.0,1.42,2.18,11701281123.4,66.05504587155966,0.1863051985358224,0.1708908010811845,7.169909248798634,6.590000000000001,6.010090751201368,52515.35,51847.44,52560.07,51708.87,8962353.0,-1.9,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300255,43.19,42.52,43.45,314882.0,-3.63,1349758772.0,3.43,3.22,39003540638.96,43.46516007532957,0.0335166001244005,0.6326902301080561,49.83980368414491,44.8205,39.801196315855094,1653.6,1641.0,1655.94,1639.45,3662935.0,-0.78,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600760,65.07,63.12,65.5,558631.0,-3.94,3565528537.0,2.03,4.11,173465499751.91998,67.25212464589234,2.8866020928632636,2.513083890986909,66.33946578164425,59.541999999999994,52.744534218355746,10337.74,10284.09,10402.22,10274.7,22478634.0,-0.64,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
